benchmark,model,par_type,run,input_tokens,output_tokens,cached_tokens,api_time,total_time,code_additions,code_deletions,non_whitelisted_dependencies,validation_status,validation_err_string,benchmark_success,benchmark_times,benchmark_median_time,source_batch,source_path,total_tokens,benchmark_wall_times,benchmark_config_sha256,timing_fixed,timing_fix_issue_categories,original_source_commit,corrected_source_commit,original_source_digest,corrected_source_digest,original_source_url,corrected_source_url,source_correction_amendment_sha256,overall_score
black-scholes,claude-haiku-4.5,mpi,1,859000.0,9300.0,832000.0,81.411,133.33,153,51,"",5,"",true,15.042;12.793;15.443;7.759;30.859,15.042,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r1,868300.0,21.869678911753;21.519451160915196;21.972208347171545;21.620055335573852;21.872600885108113,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,08a2152886dafb3a0dbb50c6a87dbd0222b8f6b1eb3d66f930be0b46707a87c1,56e63c353dff5ab7c6456f739d897e5c5bfceaa3689ee0ac27c11517a096f0f7,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r1,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
black-scholes,claude-haiku-4.5,mpi,2,773800.0,7700.0,738300.0,74.234,117.72,109,32,"",5,"",true,20.958;15.979;11.522;22.717;8.63,15.979,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r2,781500.0,15.903684835880995;16.158877323381603;15.706546632573009;16.20413721818477;16.25440472830087,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,f8986895204ff0378dc81a2c255806e177d2c23a8eaaef28004c0ef09ffdce4b,e7758a76ceda135c7a174f1fbcbda8699f4794d4b201991331cbcd1eb475b198,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r2,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
black-scholes,claude-haiku-4.5,mpi,3,988300.0,11200.0,944900.0,136.838,214.45,132,46,"",5,"",true,346.558;373.759;342.11;421.765;348.347,348.347,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r3,999500.0,16.257908795028925;15.956277001649141;16.155519425868988;16.00654755719006;15.90959659498185,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,0724e5f703b54ad28f66598534631e3eac6bc3e42156435c5a444057be97dba7,d797d0a073f3f10e5172b61a84f742f51284399230761ae54d5a5537135d47ad,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r3,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,8
black-scholes,claude-haiku-4.5,mpi,4,660000.0,6800.0,624400.0,63.0,202.11,143,43,"",4,Output comparison FAILED: Non-numeric value mismatch for object OptionPrices: 'Sum: 3.11366175001330208e+06' vs 'Sum: -nan',,,,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r4,666800.0,,,false,,,,,,,,,4
black-scholes,claude-haiku-4.5,mpi,5,708900.0,7900.0,672500.0,74.0,295.3,97,42,"",5,"",true,8.724;24.556;16.081;8.43;8.656,8.724,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r5,716800.0,16.15646689478308;15.754966200329363;15.85812565125525;16.257149733603;16.256736494600773,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,1de0b2c1eb56ea41c7a8317149a82ed065fba6d0755a42129c28b81b87311e6c,a14c09f6614abf138967eb64375e493d8d5f37e98dd844a2f078fe381e3ee849,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-haiku-4.5_mpi_r5,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
black-scholes,claude-haiku-4.5,omp,1,379800.0,4100.0,350800.0,40.0,53.36,8,5,"",5,"",true,33.828;34.924;32.555;35.404;33.339,33.828,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r1,383900.0,2.8246300602331758;2.774420890957117;2.8241015607491136;2.823038280941546;2.8238385701552033,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,6
black-scholes,claude-haiku-4.5,omp,2,436600.0,4500.0,418600.0,58.0,72.48,7,4,"",5,"",true,34.278;32.419;32.919;33.018;33.896,33.018,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r2,441100.0,2.8241413068026304;2.8241832302883267;2.8741700872778893;2.8243850460276008;2.8736184993758798,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,6
black-scholes,claude-haiku-4.5,omp,3,430600.0,4300.0,401600.0,55.0,73.06,10,6,"",5,"",true,32.881;32.366;32.912;33.921;32.939,32.912,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r3,434900.0,2.8232871033251286;2.826367909088731;2.824900260195136;2.7741426434367895;2.8246485898271203,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,6
black-scholes,claude-haiku-4.5,omp,4,243700.0,3100.0,222900.0,40.0,51.07,6,2,"",5,"",true,37.658;33.979;38.454;33.612;33.541,33.979,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r4,246800.0,2.773413778282702;2.8235077476128936;2.826301363296807;2.8234752733260393;2.873721151612699,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,6
black-scholes,claude-haiku-4.5,omp,5,328600.0,3400.0,301300.0,36.0,86.42,5,2,"",5,"",true,32.696;33.254;34.972;34.117;33.236,33.254,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-haiku-4.5_omp_r5,332000.0,2.8739653071388602;2.823698286898434;2.8737484347075224;2.8239953005686402;2.872833926230669,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,6
black-scholes,claude-opus-4.6,cuda,1,513600.0,16600.0,466900.0,278.476,294.83,97,11,"",5,"",true,33.174;33.268;33.188;33.203;33.177,33.188,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r1,530200.0,2.97325627412647;3.024082417599857;3.0245420690625906;3.0238851876929402;2.973635096102953,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,9
black-scholes,claude-opus-4.6,cuda,2,342200.0,16800.0,311900.0,242.912,258.0,80,36,"",5,"",true,27.073;27.084;31.365;31.351;31.391,31.351,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r2,359000.0,3.2235184255987406;3.2247431706637144;3.2248051464557648;3.2247280506417155;3.2242794055491686,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,9
black-scholes,claude-opus-4.6,cuda,3,327700.0,11300.0,300900.0,161.69,187.53,124,49,"",5,"",true,21.652;21.66;21.667;21.659;21.647,21.659,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r3,339000.0,5.1315191043540835;5.179817862808704;5.079453198239207;5.129736177623272;5.178289352916181,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,9
black-scholes,claude-opus-4.6,cuda,4,294400.0,13200.0,250900.0,197.0,283.86,71,29,"",5,"",true,28.537;28.536;32.94;32.94;32.948,32.94,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r4,307600.0,3.0241665141656995;3.0240849182009697;3.0744480658322573;3.0242655128240585;3.0235607801005244,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,9
black-scholes,claude-opus-4.6,cuda,5,180500.0,8500.0,121200.0,104.0,193.58,123,45,"",5,"",true,21.407;21.419;20.34;21.408;21.409,21.408,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_cuda_r5,189000.0,5.129629500210285;5.12869958486408;5.127492301166058;5.130854209885001;5.178999577648938,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,false,,,,,,,,,9
black-scholes,claude-opus-4.6,hybrid,1,614200.0,30800.0,559100.0,423.803,450.53,205,46,"",5,"",true,1048.828;1040.972;1059.861;1050.563;1080.15,1050.563,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r1,645000.0,7.386631892994046;7.187613663263619;7.336770888417959;7.386693372391164;7.236988650634885,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,48fe75c1e0981100c6ea28b660c261fe1503cec373d78c626e174f3224a86136,6baae91fa75b26ddc48482f3db0891355e8dedecbc96570cf5cd5e46f4ef5182,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r1,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,6
black-scholes,claude-opus-4.6,hybrid,2,732100.0,12500.0,654900.0,177.627,215.94,280,47,"",5,"",true,2394.309;2379.49;2378.988;2385.094;2385.479,2385.094,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r2,744600.0,15.657380297780037;15.655936834402382;15.75624458026141;15.605777700431645;15.857208260335028,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,0db8ba7a5e1c113966ab558b278124b8b0e9db7a3e7db9d12d11b2570bd4b73b,be713c5cc4d133554969fa43aa4bf70c26322bb45c1a4c74b875ec2f9e5ffcd9,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r2,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,6
black-scholes,claude-opus-4.6,hybrid,3,350900.0,24800.0,301100.0,340.377,366.44,262,60,"",5,"",true,33.393;33.436;33.433;33.284;33.511,33.433,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r3,375700.0,8.791507121175528;8.690435737371445;8.789854858070612;8.791035612113774;8.740014683455229,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,7034bd079a3f78daa85522b45164b792462baf77c43e0581b29b80de0dbb3f14,5a2bfa619f8c9a924dc7dbf4ce5c83e14cf0f0d65f23da94c744df9b302ebf29,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r3,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
black-scholes,claude-opus-4.6,hybrid,4,973000.0,51700.0,892700.0,741.0,872.11,242,49,"",5,"",true,33.284;33.398;33.392;33.318;33.337,33.337,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r4,1024700.0,8.68882246594876;8.641154530458152;8.639327928423882;8.640685060992837;8.690488955937326,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,ca5612fbf016aafbb5cecf9a5548ceefc1aee33c10ac8d293774e34318fd432c,92ff185eab231249423bac65b055a06944e56d3904c173676e8ce8e8a788252a,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r4,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
black-scholes,claude-opus-4.6,hybrid,5,486800.0,25200.0,394500.0,348.0,454.71,235,66,"",5,"",true,21.653;21.68;21.655;21.661;21.646,21.655,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r5,512000.0,13.753532001748681;13.702010036446154;13.852816672064364;13.802765937522054;13.801892842166126,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,dc1ad2456d876e47ead7b035d5074ab211029b7d9d38dd195ab8e8bf976922ad,5475cf346fca323f9b4604bb99b2a45ff3519d9fec2d50487a4533ee56ee7b9a,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r5,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,10
black-scholes,claude-opus-4.6,mpi,1,216300.0,5000.0,197500.0,72.626,87.3,93,37,"",5,"",true,10.205;9.543;11.399;9.162;9.154,9.543,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r1,221300.0,11.044088416732848;11.14421787392348;11.245429675094783;11.194594075903296;11.29384986590594,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,6814fb094db397cefaa99862a67437deaf744d0e66f49ae8af2b306ecb292f96,2f933cd1216f9be52d59c56c8525f49fa8030e15368a202039fbee319b172cdc,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r1,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
black-scholes,claude-opus-4.6,mpi,2,250000.0,5400.0,216000.0,77.983,94.6,90,45,"",5,"",true,8.431;11.623;8.934;12.018;10.91,10.91,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r2,255400.0,10.94270251877606;11.042805524542928;11.44354996830225;11.143413757905364;11.39303083717823,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,803a3c845c41640f6a979671604740a4aa144dd0b69de07d21e268f84f9d03fb,aae0f981889abc3b24af33aaf9fb72c38106496eced2ba5417587d8406c0bc62,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r2,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
black-scholes,claude-opus-4.6,mpi,3,221100.0,4500.0,203500.0,68.053,85.95,88,38,"",5,"",true,11.179;9.561;9.444;10.933;9.138,9.561,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r3,225600.0,11.092150269076228;11.293984733521938;11.395004315301776;10.942801774479449;11.24199558980763,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,9dea477903f4c3e6f8efa3358b0e973ec6191492e5e3d361fd9b789186ce62c8,9351cd419a700e907eb54f9965b81f9621cdd475bb02bfe589b5e8226e81546c,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r3,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
black-scholes,claude-opus-4.6,mpi,4,259399.99999999997,4700.0,240800.0,73.0,149.47,94,41,"",5,"",true,10.862;12.555;13.951;9.232;9.684,10.862,20260215-162417,/home/petert/llm_para_experiments/20260215-162417/black-scholes_claude-opus-4.6_mpi_r4,264100.0,11.093025363981724;11.242780715227127;11.442141082137823;11.342930061742663;11.143263245001435,20153151de0d733792317198c0ee7ebd52fbde6f605771029b205ed976be7970,true,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,e8d10c43d7fcdca42862537b0eb7d0d5fab6da66,e897bbe48e877ecbd8873ee1c666b6f394c0344b,8e4c2e64b71e49afc59a62788747ae9310b4de1b0687c392337d8985aacd39a9,7cd66c9d6af6eeafdae67b6cd39e400fd4cf9553888391dfc390a95c6b29388b,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r4,979ebae4ea2b8feedb86dfb56cab0466777c56421d5e169d11b5a6bc5fb1ca29,9
