program_id,reasons,overall_score,first_verdict,second_verdict,verdict_agreement,first_confidence,second_confidence,first_issue_categories,second_issue_categories,first_timing_only_fix_possible,second_timing_only_fix_possible
black-scholes_deepseek-v4-flash_mpi_r3,semantic_equivalence_valid_control,9,valid,valid,true,high,high,none,none,false,false
black-scholes_gemini-3-pro-preview_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true
black-scholes_gemini-3-pro-preview_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
black-scholes_gemini-3-pro-preview_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
black-scholes_gemini-3-pro-preview_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_gemini-3-pro-preview_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_gpt-4.1_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_gpt-5-mini_mpi_r3,nonstandard_invalid,7,invalid,valid,false,high,high,missing_start_synchronization;rank_local_timing,none,true,false
black-scholes_gpt-5.6-luna-medium_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_gpt-5.6-sol-medium_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch;asymmetric_timed_region,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_qwen-3.6-27B-udq4_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_qwen-3.6-27B-udq4_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_qwen-3.6-27B-udq4_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_qwen-3.6-27B-udq4_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_qwen-3.6-27B-udq4_mpi_r5,competitive_invalid,10,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
black-scholes_qwen3.7-plus_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
black-scholes_qwen3.7-plus_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,missing_rank_aggregation;rank_local_timing,true,true
cahn-hilliard_gpt-5.2_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
cahn-hilliard_gpt-5.6-sol-low_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
cahn-hilliard_qwen3.7-plus_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
cholesky_claude-opus-4.6_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
cholesky_gpt-5.6-terra-xhigh_hybrid_r3,competitive_invalid;nonstandard_invalid,9,invalid,invalid,true,high,high,incomplete_timed_region,incomplete_timed_region;reported_value_mismatch,true,true
cholesky_qwen-3.6-27B-udq4_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
floydwarshall_gpt-5.6-luna-low_hybrid_r4,nonstandard_invalid,7,invalid,invalid,true,high,high,missing_start_synchronization;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
floydwarshall_gpt-5.6-terra-xhigh_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
floydwarshall_qwen-3.6-27B-udq4_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
floydwarshall_qwen3.7-plus_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;missing_start_synchronization;reported_value_mismatch,true,true
matmul_claude-haiku-4.5_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_claude-haiku-4.5_hybrid_r4,semantic_equivalence_valid_control,6,valid,invalid,false,high,high,none,missing_rank_aggregation;rank_local_timing,false,true
matmul_claude-opus-4.6_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
matmul_claude-opus-4.6_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_claude-opus-4.6_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_claude-opus-4.6_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
matmul_claude-opus-4.6_mpi_r4,nonstandard_invalid,8,invalid,invalid,true,high,high,missing_start_synchronization;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
matmul_claude-opus-4.6_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
matmul_claude-sonnet-4.5_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true
matmul_claude-sonnet-4.5_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_claude-sonnet-4.5_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
matmul_claude-sonnet-4.5_mpi_r2,nonstandard_invalid,6,invalid,invalid,true,high,high,missing_start_synchronization;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
matmul_deepseek-v4-flash_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
matmul_deepseek-v4-flash_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_deepseek-v4-flash_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_deepseek-v4-flash_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization;missing_stop_synchronization,missing_rank_aggregation;rank_local_timing,true,true
matmul_deepseek-v4-flash_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
matmul_gemini-3-pro-preview_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,missing_rank_aggregation;rank_local_timing,true,true
matmul_gemini-3-pro-preview_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true
matmul_gemini-3-pro-preview_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_gemini-3-pro-preview_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
matmul_gemini-3-pro-preview_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_gpt-5.2-codex_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
matmul_gpt-5.6-luna-low_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
matmul_gpt-5.6-luna-low_mpi_r5,nonstandard_invalid,6,invalid,invalid,true,medium,high,wrong_mpi_datatype,wrong_mpi_datatype;reported_value_mismatch,true,true
matmul_gpt-5.6-terra-low_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_qwen-3.6-27B-udq4_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
matmul_qwen-3.6-27B-udq4_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_qwen-3.6-27B-udq4_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
matmul_qwen-3.6-27B-udq4_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_stop_synchronization,missing_rank_aggregation;rank_local_timing,true,true
matmul_qwen3.7-plus_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
matmul_qwen3.7-plus_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
nbody_claude-opus-4.6_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
nbody_claude-opus-4.6_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
nbody_claude-sonnet-4.5_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
nbody_claude-sonnet-4.5_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true
nbody_claude-sonnet-4.5_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
nbody_deepseek-v4-flash_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_stop_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
nbody_deepseek-v4-flash_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;missing_stop_synchronization;reported_value_mismatch,true,true
nbody_deepseek-v4-flash_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
nbody_gemini-3-pro-preview_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
nbody_gemini-3-pro-preview_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
nbody_gpt-5-mini_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
nbody_gpt-5-mini_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
nbody_gpt-5-mini_mpi_r1,nonstandard_invalid,6,invalid,invalid,true,high,high,rank_local_timing;missing_start_synchronization,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
nbody_gpt-5.6-luna-medium_hybrid_r1,nonstandard_invalid,8,invalid,valid,false,high,high,wrong_mpi_datatype,none,true,false
nbody_gpt-5.6-sol-low_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
nbody_gpt-5.6-terra-medium_hybrid_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
nbody_qwen3.7-plus_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
nbody_qwen3.7-plus_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
qtclustering_gpt-5.6-luna-xhigh_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization;reported_value_mismatch,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
qtclustering_gpt-5.6-luna-xhigh_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
qtclustering_gpt-5.6-sol-medium_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
qtclustering_gpt-5.6-sol-xhigh_hybrid_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
qtclustering_gpt-5.6-sol-xhigh_hybrid_r5,competitive_invalid;nonstandard_invalid,9,invalid,invalid,true,high,high,missing_device_synchronization,missing_device_synchronization,true,true
qtclustering_qwen3.7-plus_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
roomsim_qwen-3.6-27B-udq4_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;missing_start_synchronization;missing_stop_synchronization,true,true
roomsim_qwen3.7-plus_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_claude-haiku-4.5_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_claude-haiku-4.5_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_claude-opus-4.6_hybrid_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_claude-opus-4.6_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
spmv_claude-opus-4.6_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
spmv_claude-opus-4.6_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_claude-opus-4.6_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
spmv_claude-opus-4.6_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true
spmv_claude-opus-4.6_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_claude-sonnet-4.5_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_claude-sonnet-4.5_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
spmv_claude-sonnet-4.5_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_gemini-3-pro-preview_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_start_synchronization;missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_gemini-3-pro-preview_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_gpt-4.1_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_gpt-5-mini_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_gpt-5-mini_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_gpt-5.6-terra-xhigh_hybrid_r3,competitive_invalid;nonstandard_invalid,9,invalid,invalid,true,high,high,missing_start_synchronization;reported_value_mismatch,missing_start_synchronization;incomplete_timed_region;reported_value_mismatch,true,true
spmv_qwen-3.6-27B-udq4-pi-t_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_qwen-3.6-27B-udq4-pi-t_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
spmv_qwen-3.6-27B-udq4-pi-t_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_qwen-3.6-27B-udq4-pi-t_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_qwen-3.6-27B-udq4_mpi_r1,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
spmv_qwen-3.6-27B-udq4_mpi_r2,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing,true,true
spmv_qwen-3.6-27B-udq4_mpi_r3,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing,true,true
spmv_qwen-3.6-27B-udq4_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_qwen-3.6-27B-udq4_mpi_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_qwen3.7-plus_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
spmv_qwen3.7-plus_hybrid_r5,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true
spmv_qwen3.7-plus_mpi_r1,competitive_invalid;nonstandard_invalid,9,invalid,invalid,true,high,high,unsynchronized_clocks;reported_value_mismatch,unsynchronized_clocks;reported_value_mismatch,true,true
stencil3d_claude-opus-4.6_hybrid_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
stencil3d_gpt-5.2_hybrid_r5,nonstandard_invalid,7,invalid,invalid,true,high,high,missing_device_synchronization;incomplete_timed_region,missing_device_synchronization;incomplete_timed_region,true,true
stencil3d_gpt-5.2_mpi_r4,competitive_invalid;nonstandard_invalid,9,invalid,valid,false,high,high,reported_value_mismatch,none,true,false
stencil3d_qwen-3.6-27B-udq4_mpi_r4,competitive_invalid,9,invalid,invalid,true,high,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true
