id,benchmark,model,backend,repetition,issue_categories,prior_success,corrected_success,prior_median_time_ms,corrected_median_time_ms,median_time_ratio,corrected_median_wall_seconds,wall_to_reported_time_ratio,corrected_repeat_spread_ratio,corrected_under_200ms,prior_overall_score,corrected_overall_score,score_delta,original_source_url,corrected_source_url
black-scholes_claude-opus-4.6_hybrid_r5,black-scholes,claude-opus-4.6,hybrid,5,missing_rank_aggregation;rank_local_timing,true,true,21.693,21.655,0.9982482828562209,13.801892842166126,637.3536292849747,1.0003694638156377,true,10,10,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_hybrid_r5
black-scholes_claude-opus-4.6_mpi_r1,black-scholes,claude-opus-4.6,mpi,1,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,10.216,9.543,0.9341229444009397,11.194594075903296,1173.0686446508746,1.1138397729753329,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r1
black-scholes_claude-opus-4.6_mpi_r2,black-scholes,claude-opus-4.6,mpi,2,missing_rank_aggregation;rank_local_timing,true,true,7.572,10.91,1.4408346539883783,11.143413757905364,1021.394478268136,1.3009850011193196,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r2
black-scholes_claude-opus-4.6_mpi_r3,black-scholes,claude-opus-4.6,mpi,3,missing_rank_aggregation;rank_local_timing,true,true,9.285,9.561,1.0297253634894992,11.24199558980763,1175.8179677656763,1.157666243117323,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r3
black-scholes_claude-opus-4.6_mpi_r4,black-scholes,claude-opus-4.6,mpi,4,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,10.54,10.862,1.0305502846299812,11.242780715227127,1035.0562249334494,1.296468401486989,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r4
black-scholes_claude-opus-4.6_mpi_r5,black-scholes,claude-opus-4.6,mpi,5,missing_rank_aggregation;rank_local_timing,true,true,10.971,10.954,0.9984504603044391,11.193692385219038,1021.8817222219315,1.292335494844265,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-opus-4.6_mpi_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-opus-4.6_mpi_r5
black-scholes_claude-sonnet-4.5_hybrid_r3,black-scholes,claude-sonnet-4.5,hybrid,3,missing_rank_aggregation;rank_local_timing,true,true,193.577,362.675,1.873543861099201,13.80034014210105,38.05153413414503,1.0192067965073504,false,8,7,-1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-sonnet-4.5_hybrid_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-sonnet-4.5_hybrid_r3
black-scholes_claude-sonnet-4.5_mpi_r2,black-scholes,claude-sonnet-4.5,mpi,2,missing_rank_aggregation;rank_local_timing,true,true,7.867,7.926,1.0074996822168552,12.094233174808323,1525.8936632359732,1.0383631713554986,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r2
black-scholes_claude-sonnet-4.5_mpi_r4,black-scholes,claude-sonnet-4.5,mpi,4,missing_rank_aggregation;rank_local_timing,true,true,11.398,12.034,1.0557992630286015,16.0060860728845,1330.0719688286936,1.3773120651620567,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_claude-sonnet-4.5_mpi_r4
black-scholes_deepseek-v4-flash_hybrid_r1,black-scholes,deepseek-v4-flash,hybrid,1,missing_rank_aggregation;rank_local_timing,true,true,193.667,193.582,0.999561102304471,7.436318508349359,38.41430767503879,1.036300921548867,true,8,8,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260616-150949/black-scholes_deepseek-v4-flash_hybrid_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260616-150949/black-scholes_deepseek-v4-flash_hybrid_r1
black-scholes_deepseek-v4-flash_hybrid_r2,black-scholes,deepseek-v4-flash,hybrid,2,missing_rank_aggregation;rank_local_timing,true,true,29.282,33.845,1.155829519841541,7.386305843479931,218.23920353020924,1.0028741592343475,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260616-150949/black-scholes_deepseek-v4-flash_hybrid_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260616-150949/black-scholes_deepseek-v4-flash_hybrid_r2
black-scholes_gemini-3-pro-preview_mpi_r1,black-scholes,gemini-3-pro-preview,mpi,1,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,11.751,11.191,0.9523444813207388,11.093090821057558,991.2510786397603,1.1941933425502498,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r1
black-scholes_gemini-3-pro-preview_mpi_r2,black-scholes,gemini-3-pro-preview,mpi,2,missing_rank_aggregation;rank_local_timing,true,true,11.599,9.253,0.797741184584878,11.093888201750815,1198.9504162704868,1.0391367550039137,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r2
black-scholes_gemini-3-pro-preview_mpi_r3,black-scholes,gemini-3-pro-preview,mpi,3,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true,true,9.065,8.684,0.9579702151130722,10.842639454640448,1248.5766299678085,1.0393199953741181,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r3
black-scholes_gemini-3-pro-preview_mpi_r4,black-scholes,gemini-3-pro-preview,mpi,4,missing_rank_aggregation;rank_local_timing,true,true,9.769,10.144,1.0383867335448869,11.042535671032965,1088.5780432800636,1.1646788030968822,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r4
black-scholes_gemini-3-pro-preview_mpi_r5,black-scholes,gemini-3-pro-preview,mpi,5,missing_rank_aggregation;rank_local_timing,true,true,9.36,10.936,1.1683760683760684,10.992988157086074,1005.2110604504458,1.2425196850393698,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gemini-3-pro-preview_mpi_r5
black-scholes_gpt-4.1_mpi_r1,black-scholes,gpt-4.1,mpi,1,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true,true,1578.584,12.552,0.007951429889065137,17.55772028490901,1398.7986205313107,1.2852669742913647,true,6,9,3,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gpt-4.1_mpi_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gpt-4.1_mpi_r1
black-scholes_gpt-4.1_mpi_r2,black-scholes,gpt-4.1,mpi,2,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,14.199,14.458,1.0182407211775477,16.806001753546298,1162.4015599354198,1.227523691800577,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gpt-4.1_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gpt-4.1_mpi_r2
black-scholes_gpt-4.1_mpi_r5,black-scholes,gpt-4.1,mpi,5,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,1236.898,1384.616,1.1194261774212588,17.156737860292196,12.39097183644577,1.0363450355766586,false,6,6,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gpt-4.1_mpi_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gpt-4.1_mpi_r5
black-scholes_gpt-5-mini_hybrid_r4,black-scholes,gpt-5-mini,hybrid,4,missing_rank_aggregation;rank_local_timing,true,true,1017.565,1002.228,0.9849277441735907,9.592142258770764,9.570818475208,1.0126114302768787,false,7,6,-1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gpt-5-mini_hybrid_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gpt-5-mini_hybrid_r4
black-scholes_gpt-5-mini_mpi_r3,black-scholes,gpt-5-mini,mpi,3,missing_start_synchronization;rank_local_timing,true,true,313.923,305.505,0.9731845070287937,12.695341765880585,41.55526674156097,1.1146388324907681,false,7,8,1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260215-162417/black-scholes_gpt-5-mini_mpi_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260215-162417/black-scholes_gpt-5-mini_mpi_r3
black-scholes_gpt-5.6-luna-low_hybrid_r3,black-scholes,gpt-5.6-luna-low,hybrid,3,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,1274.605,1269.845,0.9962655097069288,7.6377796940505505,6.014733840784151,1.0041033724814477,false,7,6,-1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260805-120633/black-scholes_gpt-5.6-luna-low_hybrid_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260805-120633/black-scholes_gpt-5.6-luna-low_hybrid_r3
black-scholes_gpt-5.6-luna-medium_hybrid_r2,black-scholes,gpt-5.6-luna-medium,hybrid,2,missing_rank_aggregation;rank_local_timing,true,true,58.971,48.879,0.8288650353563616,8.63953971862793,176.75361031583972,1.0115512227092123,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260805-120633/black-scholes_gpt-5.6-luna-medium_hybrid_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260805-120633/black-scholes_gpt-5.6-luna-medium_hybrid_r2
black-scholes_gpt-5.6-sol-medium_hybrid_r4,black-scholes,gpt-5.6-sol-medium,hybrid,4,missing_rank_aggregation;rank_local_timing,true,true,32.772,32.81,1.001159526424997,4.428685549646616,134.97974854150002,1.0053102206488236,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260805-120633/black-scholes_gpt-5.6-sol-medium_hybrid_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260805-120633/black-scholes_gpt-5.6-sol-medium_hybrid_r4
black-scholes_qwen-3.6-27B-udq4-pi-t_hybrid_r1,black-scholes,qwen-3.6-27B-udq4-pi-t,hybrid,1,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,192.997,269.942,1.3986849536521293,18.111227159388363,67.09303168602278,1.1008677432744955,false,8,7,-1,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_hybrid_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_hybrid_r1
black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r1,black-scholes,qwen-3.6-27B-udq4-pi-t,mpi,1,missing_rank_aggregation;rank_local_timing;reported_value_mismatch;asymmetric_timed_region,true,true,7.438,10.938,1.4705566012368918,11.293839424848557,1032.5324030762988,1.0228958101594363,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r1
black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r3,black-scholes,qwen-3.6-27B-udq4-pi-t,mpi,3,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,8.804,10.586,1.2024079963652885,11.495672961696982,1085.9316986299814,1.420023014959724,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r3
black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r4,black-scholes,qwen-3.6-27B-udq4-pi-t,mpi,4,missing_rank_aggregation;rank_local_timing,true,true,12.007,9.111,0.7588073623719498,11.143686181865633,1223.1024236489552,1.0406840281658658,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r4,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r4
black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r5,black-scholes,qwen-3.6-27B-udq4-pi-t,mpi,5,missing_rank_aggregation;rank_local_timing,true,true,7.556,10.036,1.328215987294865,16.007822019048035,1595.040057697094,1.3991980954767573,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260529-150043/black-scholes_qwen-3.6-27B-udq4-pi-t_mpi_r5
black-scholes_qwen-3.6-27B-udq4_hybrid_r2,black-scholes,qwen-3.6-27B-udq4,hybrid,2,missing_rank_aggregation;rank_local_timing,true,true,73.473,75.103,1.0221850203476106,14.301418444141746,190.42406354129324,1.0196297995197108,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260507-154026/black-scholes_qwen-3.6-27B-udq4_hybrid_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260507-154026/black-scholes_qwen-3.6-27B-udq4_hybrid_r2
black-scholes_qwen-3.6-27B-udq4_mpi_r1,black-scholes,qwen-3.6-27B-udq4,mpi,1,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true,true,8.379,9.02,1.076500775748896,11.091656660661101,1229.673687434712,1.255720823798627,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260507-154026/black-scholes_qwen-3.6-27B-udq4_mpi_r1,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260507-154026/black-scholes_qwen-3.6-27B-udq4_mpi_r1
black-scholes_qwen-3.6-27B-udq4_mpi_r2,black-scholes,qwen-3.6-27B-udq4,mpi,2,missing_rank_aggregation;rank_local_timing,true,true,8.573,10.666,1.2441385745946576,12.694988783448935,1190.2295877975748,1.340193291642979,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260507-154026/black-scholes_qwen-3.6-27B-udq4_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260507-154026/black-scholes_qwen-3.6-27B-udq4_mpi_r2
black-scholes_qwen-3.6-27B-udq4_mpi_r3,black-scholes,qwen-3.6-27B-udq4,mpi,3,missing_rank_aggregation;rank_local_timing,true,true,8.035,8.23,1.0242688238954574,16.05583708267659,1950.8915045779572,1.3815028901734103,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260507-154026/black-scholes_qwen-3.6-27B-udq4_mpi_r3,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260507-154026/black-scholes_qwen-3.6-27B-udq4_mpi_r3
black-scholes_qwen-3.6-27B-udq4_mpi_r5,black-scholes,qwen-3.6-27B-udq4,mpi,5,missing_rank_aggregation;rank_local_timing,true,true,7.409,7.818,1.0552031313267647,12.64572667516768,1617.51428436527,1.0670500588158411,true,10,10,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260507-154026/black-scholes_qwen-3.6-27B-udq4_mpi_r5,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260507-154026/black-scholes_qwen-3.6-27B-udq4_mpi_r5
black-scholes_qwen3.7-plus_mpi_r2,black-scholes,qwen3.7-plus,mpi,2,missing_rank_aggregation;rank_local_timing,true,true,8.491,9.021,1.0624190319161466,16.20519381482154,1796.3855243123312,1.342264678471575,true,9,9,0,https://github.com/PeterTh/llm-eval-generated/tree/e8d10c43d7fcdca42862537b0eb7d0d5fab6da66/20260618-110425/black-scholes_qwen3.7-plus_mpi_r2,https://github.com/PeterTh/llm-eval-generated/tree/e897bbe48e877ecbd8873ee1c666b6f394c0344b/20260618-110425/black-scholes_qwen3.7-plus_mpi_r2
