id,benchmark,model,backend,repetition,timing_fixed,prior_overall_score,corrected_overall_score,score_delta
roomsim_claude-haiku-4.5_mpi_r2,roomsim,claude-haiku-4.5,mpi,2,true,8,9,1
roomsim_claude-haiku-4.5_mpi_r3,roomsim,claude-haiku-4.5,mpi,3,true,8,9,1
roomsim_claude-opus-4.6_mpi_r1,roomsim,claude-opus-4.6,mpi,1,true,7,9,2
roomsim_claude-opus-4.6_mpi_r3,roomsim,claude-opus-4.6,mpi,3,true,7,9,2
roomsim_claude-opus-4.6_mpi_r4,roomsim,claude-opus-4.6,mpi,4,true,8,9,1
roomsim_claude-opus-4.6_mpi_r5,roomsim,claude-opus-4.6,mpi,5,true,7,8,1
roomsim_deepseek-v4-flash_mpi_r1,roomsim,deepseek-v4-flash,mpi,1,true,8,9,1
roomsim_gpt-5-mini_mpi_r2,roomsim,gpt-5-mini,mpi,2,true,8,9,1
roomsim_gpt-5.2-codex_mpi_r3,roomsim,gpt-5.2-codex,mpi,3,false,8,9,1
roomsim_gpt-5.2_mpi_r1,roomsim,gpt-5.2,mpi,1,false,8,9,1
roomsim_gpt-5.2_mpi_r3,roomsim,gpt-5.2,mpi,3,false,8,9,1
roomsim_gpt-5.2_mpi_r4,roomsim,gpt-5.2,mpi,4,false,8,9,1
roomsim_gpt-5.2_mpi_r5,roomsim,gpt-5.2,mpi,5,false,8,9,1
roomsim_gpt-5.6-luna-low_mpi_r2,roomsim,gpt-5.6-luna-low,mpi,2,false,8,9,1
roomsim_gpt-5.6-luna-low_mpi_r5,roomsim,gpt-5.6-luna-low,mpi,5,false,7,9,2
roomsim_gpt-5.6-luna-medium_mpi_r1,roomsim,gpt-5.6-luna-medium,mpi,1,false,6,7,1
roomsim_gpt-5.6-luna-medium_mpi_r2,roomsim,gpt-5.6-luna-medium,mpi,2,false,8,9,1
roomsim_gpt-5.6-luna-medium_mpi_r3,roomsim,gpt-5.6-luna-medium,mpi,3,false,8,9,1
roomsim_gpt-5.6-luna-medium_mpi_r5,roomsim,gpt-5.6-luna-medium,mpi,5,false,8,9,1
roomsim_gpt-5.6-luna-xhigh_mpi_r1,roomsim,gpt-5.6-luna-xhigh,mpi,1,false,8,9,1
roomsim_gpt-5.6-luna-xhigh_mpi_r2,roomsim,gpt-5.6-luna-xhigh,mpi,2,false,8,9,1
roomsim_gpt-5.6-luna-xhigh_mpi_r3,roomsim,gpt-5.6-luna-xhigh,mpi,3,false,8,9,1
roomsim_gpt-5.6-luna-xhigh_mpi_r4,roomsim,gpt-5.6-luna-xhigh,mpi,4,false,8,9,1
roomsim_gpt-5.6-sol-low_mpi_r1,roomsim,gpt-5.6-sol-low,mpi,1,false,8,9,1
roomsim_gpt-5.6-sol-low_mpi_r2,roomsim,gpt-5.6-sol-low,mpi,2,false,8,9,1
roomsim_gpt-5.6-sol-low_mpi_r3,roomsim,gpt-5.6-sol-low,mpi,3,false,8,9,1
roomsim_gpt-5.6-sol-low_mpi_r4,roomsim,gpt-5.6-sol-low,mpi,4,false,8,9,1
roomsim_gpt-5.6-sol-low_mpi_r5,roomsim,gpt-5.6-sol-low,mpi,5,false,8,9,1
roomsim_gpt-5.6-sol-medium_mpi_r2,roomsim,gpt-5.6-sol-medium,mpi,2,false,8,9,1
roomsim_gpt-5.6-sol-medium_mpi_r3,roomsim,gpt-5.6-sol-medium,mpi,3,false,8,9,1
roomsim_gpt-5.6-sol-medium_mpi_r4,roomsim,gpt-5.6-sol-medium,mpi,4,true,7,9,2
roomsim_gpt-5.6-sol-xhigh_mpi_r1,roomsim,gpt-5.6-sol-xhigh,mpi,1,false,8,9,1
roomsim_gpt-5.6-sol-xhigh_mpi_r2,roomsim,gpt-5.6-sol-xhigh,mpi,2,false,8,9,1
roomsim_gpt-5.6-sol-xhigh_mpi_r3,roomsim,gpt-5.6-sol-xhigh,mpi,3,false,8,9,1
roomsim_gpt-5.6-sol-xhigh_mpi_r5,roomsim,gpt-5.6-sol-xhigh,mpi,5,false,8,9,1
roomsim_gpt-5.6-terra-low_mpi_r1,roomsim,gpt-5.6-terra-low,mpi,1,false,8,9,1
roomsim_gpt-5.6-terra-low_mpi_r3,roomsim,gpt-5.6-terra-low,mpi,3,false,8,9,1
roomsim_gpt-5.6-terra-low_mpi_r4,roomsim,gpt-5.6-terra-low,mpi,4,false,8,9,1
roomsim_gpt-5.6-terra-low_mpi_r5,roomsim,gpt-5.6-terra-low,mpi,5,true,8,9,1
roomsim_gpt-5.6-terra-medium_mpi_r2,roomsim,gpt-5.6-terra-medium,mpi,2,false,8,9,1
roomsim_gpt-5.6-terra-medium_mpi_r3,roomsim,gpt-5.6-terra-medium,mpi,3,false,8,9,1
roomsim_gpt-5.6-terra-medium_mpi_r4,roomsim,gpt-5.6-terra-medium,mpi,4,false,8,9,1
roomsim_gpt-5.6-terra-medium_mpi_r5,roomsim,gpt-5.6-terra-medium,mpi,5,false,8,9,1
roomsim_gpt-5.6-terra-xhigh_mpi_r1,roomsim,gpt-5.6-terra-xhigh,mpi,1,false,8,9,1
roomsim_gpt-5.6-terra-xhigh_mpi_r3,roomsim,gpt-5.6-terra-xhigh,mpi,3,false,8,9,1
roomsim_gpt-5.6-terra-xhigh_mpi_r5,roomsim,gpt-5.6-terra-xhigh,mpi,5,false,8,9,1
roomsim_qwen-3.6-27B-udq4_mpi_r1,roomsim,qwen-3.6-27B-udq4,mpi,1,true,8,9,1
roomsim_qwen-3.6-27B-udq4_mpi_r4,roomsim,qwen-3.6-27B-udq4,mpi,4,true,8,9,1
roomsim_qwen-3.6-27B-udq4_mpi_r5,roomsim,qwen-3.6-27B-udq4,mpi,5,true,8,9,1
roomsim_qwen3.7-plus_mpi_r2,roomsim,qwen3.7-plus,mpi,2,true,8,9,1
spmv_gpt-4.1_mpi_r2,spmv,gpt-4.1,mpi,2,true,9,8,-1
stencil3d_claude-opus-4.6_hybrid_r1,stencil3d,claude-opus-4.6,hybrid,1,true,7,8,1
stencil3d_claude-opus-4.6_hybrid_r2,stencil3d,claude-opus-4.6,hybrid,2,true,7,8,1
stencil3d_claude-sonnet-4.5_hybrid_r3,stencil3d,claude-sonnet-4.5,hybrid,3,false,7,8,1
stencil3d_deepseek-v4-flash_hybrid_r1,stencil3d,deepseek-v4-flash,hybrid,1,true,7,8,1
stencil3d_deepseek-v4-flash_hybrid_r2,stencil3d,deepseek-v4-flash,hybrid,2,true,6,7,1
stencil3d_deepseek-v4-flash_hybrid_r3,stencil3d,deepseek-v4-flash,hybrid,3,true,7,8,1
stencil3d_deepseek-v4-flash_hybrid_r5,stencil3d,deepseek-v4-flash,hybrid,5,false,6,7,1
stencil3d_gemini-3-pro-preview_hybrid_r4,stencil3d,gemini-3-pro-preview,hybrid,4,true,7,8,1
stencil3d_gpt-5.2-codex_hybrid_r1,stencil3d,gpt-5.2-codex,hybrid,1,false,6,7,1
stencil3d_gpt-5.2-codex_hybrid_r2,stencil3d,gpt-5.2-codex,hybrid,2,false,6,7,1
stencil3d_gpt-5.2-codex_hybrid_r4,stencil3d,gpt-5.2-codex,hybrid,4,false,6,7,1
stencil3d_gpt-5.2_hybrid_r5,stencil3d,gpt-5.2,hybrid,5,true,7,8,1
stencil3d_gpt-5.6-luna-medium_hybrid_r1,stencil3d,gpt-5.6-luna-medium,hybrid,1,false,7,8,1
stencil3d_gpt-5.6-luna-medium_hybrid_r2,stencil3d,gpt-5.6-luna-medium,hybrid,2,false,6,7,1
stencil3d_gpt-5.6-luna-medium_hybrid_r3,stencil3d,gpt-5.6-luna-medium,hybrid,3,false,7,8,1
stencil3d_gpt-5.6-luna-xhigh_hybrid_r1,stencil3d,gpt-5.6-luna-xhigh,hybrid,1,false,7,8,1
stencil3d_gpt-5.6-luna-xhigh_hybrid_r2,stencil3d,gpt-5.6-luna-xhigh,hybrid,2,false,7,8,1
stencil3d_gpt-5.6-luna-xhigh_hybrid_r4,stencil3d,gpt-5.6-luna-xhigh,hybrid,4,true,7,8,1
stencil3d_gpt-5.6-sol-low_hybrid_r3,stencil3d,gpt-5.6-sol-low,hybrid,3,false,7,8,1
stencil3d_gpt-5.6-terra-low_hybrid_r4,stencil3d,gpt-5.6-terra-low,hybrid,4,false,7,8,1
stencil3d_gpt-5.6-terra-low_hybrid_r5,stencil3d,gpt-5.6-terra-low,hybrid,5,false,7,8,1
stencil3d_gpt-5.6-terra-medium_hybrid_r3,stencil3d,gpt-5.6-terra-medium,hybrid,3,false,7,8,1
stencil3d_gpt-5.6-terra-medium_hybrid_r5,stencil3d,gpt-5.6-terra-medium,hybrid,5,false,7,8,1
stencil3d_qwen3.7-plus_hybrid_r2,stencil3d,qwen3.7-plus,hybrid,2,true,7,8,1
stencil3d_qwen3.7-plus_hybrid_r3,stencil3d,qwen3.7-plus,hybrid,3,false,7,8,1
stencil3d_qwen3.7-plus_hybrid_r4,stencil3d,qwen3.7-plus,hybrid,4,false,7,8,1
