program_id,benchmark,model,par_type,run,overall_score,benchmark_median_time_ms,source_tree_oid,source_digest,verdict,confidence,issue_categories,timing_only_fix_possible
black-scholes_claude-sonnet-4.5_hybrid_r3,black-scholes,claude-sonnet-4.5,hybrid,3,8,193.577,639e1eca5221ff55439699db0d56614a28e25c21,ad2a9eb631da777e3caf9ccd0f8c0d57d58dcc3f435c8b45a4ff06699c1f02dd,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-sonnet-4.5_hybrid_r5,black-scholes,claude-sonnet-4.5,hybrid,5,7,1215.918,d29513b249ff1b0b366f6e256d4d5a6f0dab58fe,012a0b750c97610bd189364fe279736a2b1eaea7c67202791f079997e520ce55,valid,high,none,false
black-scholes_claude-sonnet-4.5_mpi_r1,black-scholes,claude-sonnet-4.5,mpi,1,9,7.897,ec7a2b07d308422b75b7461ddc888c2211e632e7,bebec852f6b97d69c6683155411636fd73f8c8ff2371895bbf1260461ca293e3,valid,high,none,false
black-scholes_claude-sonnet-4.5_mpi_r2,black-scholes,claude-sonnet-4.5,mpi,2,9,7.867,ced984299c3c02febcd8fb1616a8a02bb271328c,ca09cced2ebc4a919b0de58f223f1399a4bfaa6c870f78f21b69df8f726b0750,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-sonnet-4.5_mpi_r3,black-scholes,claude-sonnet-4.5,mpi,3,9,11.174,a450e044d077103d507eca682a9a759c5dc84605,daf22017d0d76819b8db3f3e9954d490a4c193246fcdd711138ecf9b20e8eb0d,valid,high,none,false
black-scholes_claude-sonnet-4.5_mpi_r4,black-scholes,claude-sonnet-4.5,mpi,4,9,11.398,a8cf58e2db12f79362fa37549ed27c424cae3421,57ef7e92f1b6beea84e4efeb4da4f2285e002a72d9af00f92f25dc15c10657cd,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_claude-sonnet-4.5_mpi_r5,black-scholes,claude-sonnet-4.5,mpi,5,9,8.528,7959c157bfc48c4dee56893527be3c856a582c66,8a1f73a60f76594ca54e06e7a2307aadb87b82d4ffb1437dbd7ea174e0822e17,valid,high,none,false
black-scholes_deepseek-v4-flash_hybrid_r1,black-scholes,deepseek-v4-flash,hybrid,1,8,193.667,59a9b636e27953556aecaef7e7e7e5c2a18a0510,efb3bc19d01166ad49320a8c90d2b1514d44fdbfcc8c48b0d3aa3ccebf6ef797,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_deepseek-v4-flash_hybrid_r2,black-scholes,deepseek-v4-flash,hybrid,2,9,29.282,bc5bac1f9b161a73d75e7288834d2925731d448f,74342329d03cb0821dad8c990316b080fa6ee81048156656a9f5e8ee164c0b1c,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_deepseek-v4-flash_hybrid_r4,black-scholes,deepseek-v4-flash,hybrid,4,9,33.426,f143cfc4fa7e77bed7b3ea99e17eeed36b217e34,0ecb48fea82d292247b8c1ad8426d70ce7a870e463ba8756795b8293889954ad,valid,high,none,false
black-scholes_deepseek-v4-flash_mpi_r1,black-scholes,deepseek-v4-flash,mpi,1,9,8.381,9506004716141385037aa5a29e191df8662d43e5,01b90391d8f03571841308975539249e3715687e7e51902b9c13ba15986a4c90,valid,high,none,false
black-scholes_deepseek-v4-flash_mpi_r2,black-scholes,deepseek-v4-flash,mpi,2,9,8.378,a6f885c31edacc7a326b923e387ec4f918a2ac0e,9ea8215b468f9a75a06e6823c3caceffb0dbf3277867a90a132bad5bfceaa3bd,valid,high,none,false
black-scholes_deepseek-v4-flash_mpi_r3,black-scholes,deepseek-v4-flash,mpi,3,9,10.933,3a6b697ce69533f88377736b0b00cf4890465ea6,34c8e8a1bc566317a7224a0b36a78817d3e46e313542f28bcb39f41a7487e7b3,valid,high,none,false
black-scholes_deepseek-v4-flash_mpi_r4,black-scholes,deepseek-v4-flash,mpi,4,9,9.285,69f20c4f8903349436b91f9325b8417874704fb1,ea13ef0b669895e6c69a41c95314b631a44fb965144d1a37d0ad159c7158a950,valid,high,none,false
black-scholes_deepseek-v4-flash_mpi_r5,black-scholes,deepseek-v4-flash,mpi,5,9,10.485,1114a5008ba0f6c70b92c6587b2592156775c466,f2144fc7ae91bdbaad8a4530402356cb7130e1533185cdee7602eaa77a4b1073,valid,high,none,false
black-scholes_gemini-3-pro-preview_mpi_r1,black-scholes,gemini-3-pro-preview,mpi,1,9,11.751,8c3aaa49aee3728b776eb25561efb1da49234905,487c9bc8f9297ffd09342050164192b6c05a46ced8e19b1f7cdc283649e76402,invalid,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_gemini-3-pro-preview_mpi_r2,black-scholes,gemini-3-pro-preview,mpi,2,9,11.599,1d7d1124e8c46f72af2f0aa5ae40b6ca7e53e0c3,4ce6d48c48f9b0952bb74bb2de0875a47f5dcbf229368374016255905f5fd6f3,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_gemini-3-pro-preview_mpi_r3,black-scholes,gemini-3-pro-preview,mpi,3,9,9.065,40336e639cc095eef0f58ce017a15b478daf381b,0aaf32f48ac6fba6bb882d6ee1b941c7ba8d74a8c8ab1f557fe0cade64addae4,invalid,high,missing_start_synchronization;missing_rank_aggregation;rank_local_timing,true
black-scholes_gemini-3-pro-preview_mpi_r4,black-scholes,gemini-3-pro-preview,mpi,4,9,9.769,9428fb6c70e88eb69b4979591a496f59f2fb0c58,7a48359ea3cc2cc147557885727f0f5c8e74f77643bafbb2ef4c07dc26404f2b,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_gemini-3-pro-preview_mpi_r5,black-scholes,gemini-3-pro-preview,mpi,5,9,9.36,0a4a4d9a411f33dc54cc3d278efa3a490d5ac898,90504ba2cae6295966b21da134510a9eff58e15b8f5e62b4ed7613f2885c4e9a,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_gpt-4.1_mpi_r1,black-scholes,gpt-4.1,mpi,1,6,1578.584,3de8d7ef1f663799a851e54dfaab60094b511585,f1f5dda01ddd4e288b51945fbc93e71f4baacaaca789dd896c468374fe3a383f,invalid,high,missing_rank_aggregation;rank_local_timing;missing_start_synchronization,true
black-scholes_gpt-4.1_mpi_r2,black-scholes,gpt-4.1,mpi,2,9,14.199,32e399f1f9ecd37f3de0feeca29c7f32e0a6ea31,666a4daaa50ccf65ed35e740196a7c09af0ef70e02ed2a8ee21b966f66d78265,invalid,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_gpt-4.1_mpi_r4,black-scholes,gpt-4.1,mpi,4,9,11.075,7fe26000127fd1d4a1ec1a545202dc78e3cd5428,b194b90e6e37994439f06ca4de55a5951238f2854fd321d186818ec1c6d49441,valid,high,none,false
black-scholes_gpt-4.1_mpi_r5,black-scholes,gpt-4.1,mpi,5,6,1236.898,ba248a8be9c3c663a452fd473a05507217fd2bc0,edcd4f4e48eb4ada9db838bd5c9b1d4a3c9a3fdc33fe67128ffe32b8c12c792a,invalid,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_gpt-5-mini_hybrid_r4,black-scholes,gpt-5-mini,hybrid,4,7,1017.565,6398e330e09bb06a89edabdadfd97340a5d04b5a,97d10808c7c89678ef83143d0dcff58ac43719cb0854556c1cb278455bb600c5,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_gpt-5-mini_mpi_r1,black-scholes,gpt-5-mini,mpi,1,9,11.432,79aa45ed67883d9e5502912410fdb1974c63e1d2,4b224d145b7cf1ef510a0ab561944f4e523ddfb69c0061811a49d8b7eea39532,valid,high,none,false
black-scholes_gpt-5-mini_mpi_r2,black-scholes,gpt-5-mini,mpi,2,9,9.498,b8012c296bea70834635dc731e3e7fdaaf0eecd8,78ce71b4ad21fc8792f9a2683fc7a2ef9a4d26cd21f2c7a940e1bada27bdac72,valid,high,none,false
black-scholes_gpt-5-mini_mpi_r3,black-scholes,gpt-5-mini,mpi,3,7,313.923,a2e4bb5465a79cbb8349c5541f50e82a478ecafd,d412ee1a058dab38e876d25b45ed6de151881789f1f8c9a66d249ef53037c999,invalid,high,missing_start_synchronization;rank_local_timing,true
black-scholes_gpt-5-mini_mpi_r4,black-scholes,gpt-5-mini,mpi,4,9,8.344,9f9a0886d1050835735ebc2e2f29233372b5adb7,5e6d356dde1f979765c37cf77e9b8013e1b1ed3bede88d447c9eb3628a457cbb,valid,high,none,false
black-scholes_gpt-5-mini_mpi_r5,black-scholes,gpt-5-mini,mpi,5,9,7.846,4953a000d23baf15cf061b33d77b0f9d4f779dc0,bd2e25a163ea7600d6948aacd89cedba13de6213fc7ba05b3efe7f34d3b98378,valid,high,none,false
black-scholes_gpt-5.2-codex_hybrid_r1,black-scholes,gpt-5.2-codex,hybrid,1,8,199.967,df2731ae5fdc96a03e8b6f913f8edbc128f50558,83ba9cdd4d73cf449e82c327fba079fe42731c96cb8709c126fd349578516647,valid,high,none,false
black-scholes_gpt-5.2-codex_hybrid_r2,black-scholes,gpt-5.2-codex,hybrid,2,8,192.382,620c6ca6180f70bd409b01250d5e3ad892e5333f,a8f687e70714dc12a6bfb0456dc4962b202173c3483c49a012e240cc8019f026,valid,high,none,false
black-scholes_gpt-5.2-codex_hybrid_r3,black-scholes,gpt-5.2-codex,hybrid,3,8,234.411,8fc04370f6a06a2359a0980abce2d4ccbf10dfdd,0bde757bcc8b709507feac78f0503b423ceabff8bfb186b5cbf6576d0afbefb6,valid,high,none,false
black-scholes_gpt-5.2-codex_hybrid_r4,black-scholes,gpt-5.2-codex,hybrid,4,9,33.277,01ed42e68a5fa15ec48033e70e63e5a960d99324,b48357ad99b8e9e910297e2762511f389c02f5689c0943222762291a7725ab23,valid,high,none,false
black-scholes_gpt-5.2-codex_hybrid_r5,black-scholes,gpt-5.2-codex,hybrid,5,8,193.59,ae503f510fcc59c46a83d3ca41c604685e49e0e9,49f1246bf889e8bdf5a983541d33b5da8fc8d3702f23f19311832eff596e647f,valid,high,none,false
black-scholes_gpt-5.2-codex_mpi_r1,black-scholes,gpt-5.2-codex,mpi,1,9,13.183,3895a1e12e167720de08b82328d862d7acc4fc42,e9c9c796967201b67cab9cfd4d331b94132941e4d6c04d627ca022d2f2703c5a,valid,high,none,false
black-scholes_gpt-5.2-codex_mpi_r2,black-scholes,gpt-5.2-codex,mpi,2,9,10.884,f3c9a9fae512b1baf94bde787adf053f37b923e0,b55315c0d820ae9ac834a98b39e17e699f1ed902fb2bc2ae6a2c01ccea3f0415,valid,high,none,false
black-scholes_gpt-5.2-codex_mpi_r3,black-scholes,gpt-5.2-codex,mpi,3,9,13.505,493e31576db720aef7a393672db71b242cd96259,816fccdd517db9e35a2d238860dd194623506cf1ba5fa9688d08996839dd08b5,valid,high,none,false
black-scholes_gpt-5.2-codex_mpi_r4,black-scholes,gpt-5.2-codex,mpi,4,9,12.203,bf85754b6264ab024b405585bd06adebe8eaefdc,99233710e31d87eedcc80491c23576c152d639cb17a7c7ed8776a5f9620a6e83,valid,high,none,false
black-scholes_gpt-5.2-codex_mpi_r5,black-scholes,gpt-5.2-codex,mpi,5,9,10.681,6e322bf2602a6db0b9c991c8c8ea3f929ad6f77e,11338b844345218218743a6e498126db71663a097aa7f23e83599522980c8d15,valid,high,none,false
black-scholes_gpt-5.2_hybrid_r1,black-scholes,gpt-5.2,hybrid,1,8,396.869,a5fc801d4509a349efbe50a603e34681a4b28f65,a6819b55bbd190a80b9341dbaa12b1401385d0442ac1fa88029497ee8b1aee65,valid,high,none,false
black-scholes_gpt-5.2_hybrid_r2,black-scholes,gpt-5.2,hybrid,2,9,48.81,73af77e4c86d552947502d1824764ba8c936d940,9a6ca60a600cc21391dc39af85f8453dd1ed735914afbe4760f8b96655b5b309,valid,high,none,false
black-scholes_gpt-5.2_hybrid_r3,black-scholes,gpt-5.2,hybrid,3,7,1023.536,73c89fa80c76bec71d38ccd583447e8c5c04345a,36ab86e0557fbd7c436fb8899928657896f51808a68ab65b52620c1d6d50ee65,valid,high,none,false
black-scholes_gpt-5.2_hybrid_r4,black-scholes,gpt-5.2,hybrid,4,9,34.802,0a14f6a26bd4667c33f34b113bb8a4bf61875040,0ef38f8cc6f6e72313de0840080b3eab26bc3a4b53b4a9f210c99f246e3181b8,valid,high,none,false
black-scholes_gpt-5.2_hybrid_r5,black-scholes,gpt-5.2,hybrid,5,9,34.951,13019b3b7de795add964ef32b78e5cc166423c2b,0f5d84ba454d1de3d3b69e2a8ec9adeecade93682c8c5fd8d57e4cb34cf46cc8,valid,high,none,false
black-scholes_gpt-5.2_mpi_r1,black-scholes,gpt-5.2,mpi,1,9,13.471,df3eefd512f131a4715d3e81108b519661730570,6101735224ba80544294ccf4cb8c370707e56142d570f18166d847bbbfc556b5,valid,high,none,false
black-scholes_gpt-5.2_mpi_r2,black-scholes,gpt-5.2,mpi,2,9,13.47,fb501875376b8dcb105e023973965c40a575b68c,16360fd93614d262f1d1894bedb0edf0a0af0fe5110b0ed630179a11970f1e78,valid,high,none,false
black-scholes_gpt-5.2_mpi_r3,black-scholes,gpt-5.2,mpi,3,9,13.098,0d6a315b5332c70c27735851caf30805b629a387,a3a1e5018be3213b7f8269a2a07a062c2ffd95a79c9709f761c50005960bdadf,valid,high,none,false
black-scholes_gpt-5.2_mpi_r4,black-scholes,gpt-5.2,mpi,4,9,13.208,6531fcdcadc2f848a0893bb048aca7ee8fa338cf,02521133a9f5f01e8c30f7e5d53c47d4a506187ef0ea937bed6fc6231d16828c,valid,high,none,false
black-scholes_gpt-5.2_mpi_r5,black-scholes,gpt-5.2,mpi,5,9,13.015,3d5f37b4f1c20e05bb2de18abbc2507826281b7b,fbc892d6221f29a3b193b0506e6f1684a939e42c8c0a124ba136d66007186077,valid,high,none,false
black-scholes_gpt-5.6-luna-low_hybrid_r3,black-scholes,gpt-5.6-luna-low,hybrid,3,7,1274.605,0d594f3c18df0bb0522b46b033858b651db21f94,15cb4d25a0cffcc7eeeeac8fbcb278574255045a4091d4b086df189420996fb2,invalid,high,missing_rank_aggregation;rank_local_timing;reported_value_mismatch,true
black-scholes_gpt-5.6-luna-low_mpi_r1,black-scholes,gpt-5.6-luna-low,mpi,1,7,321.394,af3b0a26730720f00ea6273b4250dbcdf1a9a836,a188375b877863409a50f6085a051a3052e7f96b0b33b42c977b8de9de3a925d,valid,high,none,false
black-scholes_gpt-5.6-luna-low_mpi_r2,black-scholes,gpt-5.6-luna-low,mpi,2,9,10.601,d3ca0b0ecaaad843e698e99dfacc0b044f850010,04c2e5ef61ede0a181525d894e1c377d5578aac663309a2686ea007888ebd7a7,valid,high,none,false
black-scholes_gpt-5.6-luna-low_mpi_r3,black-scholes,gpt-5.6-luna-low,mpi,3,9,11.359,2da27a7103a0a77120b288fad32faf7c1b5a79a3,9b089d10554901c0b36787f76ba724424ecf23032315d96f8db9bda994f96fa4,valid,high,none,false
black-scholes_gpt-5.6-luna-low_mpi_r4,black-scholes,gpt-5.6-luna-low,mpi,4,9,10.06,f0dab1e7a4ad05c52e6f4786799ee38422cbc34d,5993668dfdeeb588f8ce680b6bfd51ba51a9ce79f3022f5e6bc7848face6c0a5,valid,high,none,false
black-scholes_gpt-5.6-luna-low_mpi_r5,black-scholes,gpt-5.6-luna-low,mpi,5,9,8.889,bff72a9958a7c5c840ef8db8b71337e13e6ab048,dae51f730928a0871df14661b7cf6af5dc8824d837c18fc6a57eed49f24f8871,valid,high,none,false
black-scholes_gpt-5.6-luna-medium_hybrid_r1,black-scholes,gpt-5.6-luna-medium,hybrid,1,8,446.19,42ac93ff97cc3a803a48dc51d31272c50d8fc462,8afe21b5ddd3615ad9f1ca966f014273a85c2174ca7aea83c95249903d49bc25,valid,high,none,false
black-scholes_gpt-5.6-luna-medium_hybrid_r2,black-scholes,gpt-5.6-luna-medium,hybrid,2,9,58.971,256ae37732ec486ff58d37d35592c7b6f88f7ced,797cdc0d6f560f295b4ae74391caac386f857697a2d09c809e71cadbfb4d464a,invalid,high,missing_rank_aggregation;rank_local_timing,true
black-scholes_gpt-5.6-luna-medium_hybrid_r4,black-scholes,gpt-5.6-luna-medium,hybrid,4,7,932.348,7ff3a3461ecae46fe0ec1eef5b1ffe9f9cbb429b,e2254697bb87b1456e0e1b78b9833b2307096e1dd111459e2596b7482d495de3,valid,high,none,false
black-scholes_gpt-5.6-luna-medium_hybrid_r5,black-scholes,gpt-5.6-luna-medium,hybrid,5,7,1576.644,ee398fbbc38a55f1d98a1e3c982a69f5f254d9fa,2b840109af1d79389b88381403d4c1685483e7f88314bc994a99e0e07d6d66cf,valid,high,none,false
black-scholes_gpt-5.6-luna-medium_mpi_r1,black-scholes,gpt-5.6-luna-medium,mpi,1,9,11.933,04e7e0759555dfa9861ddef1317f66e8e4c29197,d6a29546d3dc1a939c85cca259b3a3c35a08fa67949587ee6236668521e5417a,valid,high,none,false
black-scholes_gpt-5.6-luna-medium_mpi_r2,black-scholes,gpt-5.6-luna-medium,mpi,2,9,10.359,6e58e46e5b4ff48b81394f2636fc036abee4e63f,10bcb254d1e0288e9ca109b21f39ee76ee3a74f23242f92fcd52624e9f06f620,valid,high,none,false
black-scholes_gpt-5.6-luna-medium_mpi_r3,black-scholes,gpt-5.6-luna-medium,mpi,3,9,11.68,65308d2336c389ef69f6b7b3f9924cb97c0b3e53,f40e501d69d2221f9bc9f6f9db22f9f3a3dbf06d469eaef72195c7505873c7b3,valid,high,none,false
black-scholes_gpt-5.6-luna-medium_mpi_r4,black-scholes,gpt-5.6-luna-medium,mpi,4,9,10.882,458658a0f87b07305fd9f747d8a96ed395bde030,76de8376a75e591eba36562b0751d10f01b6496ac442b37b207363ca8ee3c980,valid,high,none,false
black-scholes_gpt-5.6-luna-medium_mpi_r5,black-scholes,gpt-5.6-luna-medium,mpi,5,9,10.025,1b525013ff650432f9fdd25b555bc791213b4216,8fa0030628448198e769d3dee81e67ad745471b57c18a4b72ce66b94f5f7c2fd,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_hybrid_r1,black-scholes,gpt-5.6-luna-xhigh,hybrid,1,8,143.193,d40eaa217565f93c7da1596104e8f5075fa9685d,c554b90130a9e18be5a3c599a146c520e69c029b64bd4db8e85f687866b54836,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_hybrid_r2,black-scholes,gpt-5.6-luna-xhigh,hybrid,2,8,181.683,dbe0c9a10f5b1b7fa5f83022e899d5bd49d89b74,7d7b7e8609f767a8a9e66e65a18a3a0478d7b92bf28489a572fbec312bb1daad,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_hybrid_r3,black-scholes,gpt-5.6-luna-xhigh,hybrid,3,6,7909.842,15abd4a2a94dbedcbb380eca3e53d54426ebc399,486d7bb154783f3cd8b63f31678f842d4e9303851be958be8768213e62845c82,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_hybrid_r4,black-scholes,gpt-5.6-luna-xhigh,hybrid,4,8,163.434,a713247ef042bc9e49d03b827035bd385360d517,a3b69c54d5b891087f43f31fa34fb319f706b8d8df2b12d847bfbdb6c2da325a,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_hybrid_r5,black-scholes,gpt-5.6-luna-xhigh,hybrid,5,8,183.558,e81d2569dbad8d19fa2ac976a7fc8edb3588fbe1,ace722206eec3931cdd3743387f67ce9745b184e04755ad1cb1e1b8eb7595a88,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_mpi_r1,black-scholes,gpt-5.6-luna-xhigh,mpi,1,9,9.513,f08f371845931f19468e7fe967cf605b5660af79,0f6818f142f4885d85c18c3a7a71614d3ca7de107720c3ccb1d933b415bda8ab,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_mpi_r2,black-scholes,gpt-5.6-luna-xhigh,mpi,2,9,9.386,998c9de6abaeaddf43225bb3facf9313ccfe638e,dd42da3bb732222906311f4340ded09834225431a3867b2cefa0e95d30b845c4,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_mpi_r3,black-scholes,gpt-5.6-luna-xhigh,mpi,3,9,11.077,d5e89442db2058886fc39802f662f0fc266f08c3,00b35d26122ab4a533d16afa9e26c74ba4c8fa27a0e2883454b57687ba7864d9,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_mpi_r4,black-scholes,gpt-5.6-luna-xhigh,mpi,4,9,9.258,e1ef4afd9fb49c8a4382a7dc4a107039e5a82ad1,d090a2aac0f68ab368e2cbb63685098d1b9e03e1d6f78ee2226a0d1a7d1f8107,valid,high,none,false
black-scholes_gpt-5.6-luna-xhigh_mpi_r5,black-scholes,gpt-5.6-luna-xhigh,mpi,5,9,10.544,de0342fa8b41a392925fac4dba4629e4cb9c3f5b,f352ea9e924f8189b97d5294589ffd66ca0643063ae98f1c62f6f8cbe0bc3f08,valid,high,none,false
black-scholes_gpt-5.6-sol-low_hybrid_r1,black-scholes,gpt-5.6-sol-low,hybrid,1,9,37.799,71ff038140a9237186eeacdb989cd88425e4b120,ba5de584b14f3ddde5ade6207711d356711e249e3e680a1bf9d4ad87b634a6b5,valid,high,none,false
black-scholes_gpt-5.6-sol-low_hybrid_r2,black-scholes,gpt-5.6-sol-low,hybrid,2,8,182.214,435ff76d9a950d043ce278000f96f6f68fcfcb4e,89ec35139681a1967cd47a49f61c836d2f5ab76f72a3294795176bbe7d4b060d,valid,high,none,false
black-scholes_gpt-5.6-sol-low_hybrid_r3,black-scholes,gpt-5.6-sol-low,hybrid,3,8,192.407,3fdd657b091fa6f2a0edc362fcddec1e7420a1f7,b2a3d3e33a2b0be9eac0b6564deb42b1b354cff0da5a3171e5b0a32bfdce109b,valid,high,none,false
black-scholes_gpt-5.6-sol-low_hybrid_r4,black-scholes,gpt-5.6-sol-low,hybrid,4,9,61.913,4a5aca8d49c84bd8330ff9d36f8ecdea20621bd7,1ff38fe0d632ab044b75da01fe4552e0a70a5b975f7a8b8004c277b9fdcb9267,valid,high,none,false
black-scholes_gpt-5.6-sol-low_hybrid_r5,black-scholes,gpt-5.6-sol-low,hybrid,5,8,185.675,e2416be87db424bcccb4439675e6675930de10bc,dc301fc5b24ddd834d8bc6e769c120679271e785868fb5ca06e7674f09235d21,valid,high,none,false
black-scholes_gpt-5.6-sol-low_mpi_r1,black-scholes,gpt-5.6-sol-low,mpi,1,9,10.716,8b956959135a7bad09433ac805c7914271f7bc2f,b19af01eea4107a7746817cfe383a60aeb9dcfb8f149ca767102e45d09ab2434,valid,high,none,false
